code,municipality,registered,envelopes,valid,TOP 09,Radostné Česko,"ROZUMNÍ-stop migraci,diktát.EU",CESTA ODPOVĚDNÉ SPOLEČNOSTI,ANO 2011,Občanská demokratická aliance,Svob.a př.dem.-T.Okamura (SPD),Česká str.sociálně demokrat.,SPORTOVCI,Strana zelených,Česká strana národně sociální,Řád národa - Vlastenecká unie,-,Strana svobodných občanů,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Blok proti islam.-Obran.domova,Česká pirátská strana,Referendum o Evropské unii,Dělnic.str.sociální spravedl.,SPR-Republ.str.Čsl. M.Sládka,Komunistická str.Čech a Moravy,Dobrá volba 2016,Strana Práv Občanů,Občanská demokratická strana
590142,Vícov,404,254,250,6,1,4,0,69,0,41,11,0,4,0,0,-,3,40,0,5,1,20,0,3,0,24,0,1,17
544710,Vincencov,109,80,80,3,0,0,0,15,0,15,5,0,1,0,0,-,1,17,0,5,0,9,0,0,1,5,0,0,3
590151,Vitčice,146,84,84,0,0,2,1,33,0,15,5,0,0,0,1,-,0,6,0,3,0,6,0,0,1,5,0,0,6
590177,Vranovice-Kelčice,492,321,318,6,0,0,0,135,0,43,17,0,1,0,1,-,5,43,0,7,0,14,1,0,0,22,0,0,23
590185,Vrbátky,1306,863,857,14,1,6,1,287,1,119,60,1,7,0,1,-,11,79,2,31,4,68,0,5,1,85,0,5,68
590193,Vrchoslavice,478,282,275,4,0,1,0,87,0,49,20,1,3,0,0,-,3,15,4,16,1,18,0,1,2,31,2,0,17
590207,Vřesovice,419,281,280,8,0,0,0,61,0,40,16,1,3,0,0,-,1,69,0,8,0,14,0,1,2,41,0,0,15
590215,Výšovice,399,266,263,16,0,1,2,69,1,41,25,1,3,0,0,-,3,21,1,2,1,21,1,1,0,25,0,0,28
590223,Zdětín,282,196,194,2,0,0,0,53,0,38,21,0,1,0,0,-,0,18,0,13,1,21,0,2,1,16,0,1,6
590240,Želeč,436,278,278,2,0,7,0,67,0,47,15,0,3,0,0,-,2,28,0,17,2,17,0,1,0,49,0,0,21
